name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,total_fights,win_rate,loss_rate,draw_rate,win_loss_ratio
Robert Drysdale,The Beast,7,0,0,190.5,92.99,181.80887362637364,Orthodox,1981-10-05,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,43,7,1.0,0.0,0.0,7.0
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,181.80887362637364,Orthodox,1987-01-21,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,38,52,0.28846153846153844,0.7115384615384616,0.0,0.39473684210526316
Dan Molina,The Beast,13,9,0,177.8,97.98,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,38,22,0.5909090909090909,0.4090909090909091,0.0,1.3
Paul Ruiz,The Beast,7,4,0,167.64,61.23,181.80887362637364,Orthodox,1987-01-21,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,38,11,0.6363636363636364,0.36363636363636365,0.0,1.4
Collin Huckbody,All In,8,2,0,190.5,83.91,193.04,Orthodox,1994-09-29,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,30,10,0.8,0.2,0.0,2.6666666666666665
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,70.31,181.80887362637364,Orthodox,1979-03-01,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46,16,0.5625,0.4375,0.0,1.125
Isaiah Hill,The Beast,5,7,1,177.8,70.31,181.80887362637364,Orthodox,1987-01-21,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,38,13,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.625
Kenneth Seegrist,The Beast,4,7,0,182.88,83.91,181.80887362637364,Orthodox,1987-01-21,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,38,11,0.36363636363636365,0.6363636363636364,0.0,0.5
Will Kerr,The Beast,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,42,12,0.75,0.25,0.0,2.25
Neil Grove,Goliath,12,8,1,198.12,120.2,181.80887362637364,Orthodox,1971-01-18,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54,21,0.5714285714285714,0.38095238095238093,0.047619047619047616,1.3333333333333333
Raphael Butler,The Silencer,9,2,1,190.5,118.39,181.80887362637364,Orthodox,1987-01-21,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,38,12,0.75,0.16666666666666666,0.08333333333333333,3.0
Bo Nickal,The Beast,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29,5,1.0,0.0,0.0,5.0
Ian Entwistle,Enty,9,3,0,165.1,61.23,181.80887362637364,Orthodox,1986-11-19,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,38,12,0.75,0.25,0.0,2.25
